"parentCustomerID","child_id","ChildCustomerId"
293,529,ii. Hotel
293,529,Chain
529,530,ii. Hotel
529,530,Chain
294,531,DOS
294,531,Chain
1004,531,DOS
1004,531,Chain
531,532,Sales Manager
531,532,Chain
294,536,Sales Manager
294,536,Chain
536,537,Reservations
536,537,Contracted
536,538,Reservations
536,538,Chain
536,539,ii. Hotel
536,539,Chain
536,540,Sales Manager
536,540,Hotelname
294,541,Banquet Sales
294,541,Hotelname
541,542,ii. Hotel
541,542,Chain
541,543,Banquet Sales
541,543,Hotelname
294,544,ii. Hotel
294,544,Chain
295,545,Banquet Sales
295,545,Hotelname
295,546,Banquet Sales
295,546,Hotelname
546,547,ii. Hotel
546,547,Chain
546,548,Banquet Sales
546,548,Hotelname
295,549,ii. Hotel
295,549,Chain
549,550,Sales Manager
549,550,Hotelname
549,551,Sales Manager
549,551,Chain
295,552,ii. Hotel
295,552,Chain
295,553,Banquet Sales
295,553,Hotelname
555,554,ii. Hotel
555,554,Chain
296,555,Accounts Payable
296,555,General Manager
555,556,ii. Hotel
555,556,Chain
296,558,ii. Hotel
296,558,Chain
296,559,General Manager
296,559,Hotelname
296,560,ii. Hotel
296,560,Chain
297,561,Sales Manager
297,561,Hotelname
563,562,ii. Hotel
563,562,Chain
297,563,ii. Hotel
297,563,Chain
563,564,Banquet Sales
563,564,Hotelname
297,565,ii. Hotel
297,565,Chain
565,566,Reservations
565,566,Hotelname
297,567,ii. Hotel
297,567,Chain
567,568,ii. Hotel
567,568,Chain
297,569,Banquet Sales
297,569,Hotelname
297,571,ii. Hotel
297,571,Chain
571,572,Sales Manager
571,572,Hotelname
297,573,ii. Hotel
297,573,Chain
573,574,Sales Manager
573,574,Chain
297,575,ii. Hotel
297,575,Chain
575,576,Sales Manager
575,576,Hotelname
298,578,Banquet Sales
298,578,Hotelname
577,578,Banquet Sales
577,578,Hotelname
299,579,ii. Hotel
299,579,Chain
299,580,ii. Hotel
299,580,Chain
580,581,ii. Hotel
580,581,Chain
299,582,ii. Hotel
299,582,Chain
299,583,ii. Hotel
299,583,Chain
299,584,Banquet Sales
299,584,Hotelname
299,585,ii. Hotel
299,585,Chain
299,586,ii. Hotel
299,586,Chain
586,587,Sales Manager
586,587,Hotelname
586,588,Banquet Sales
586,588,Hotelname
299,589,ii. Hotel
299,589,Chain
299,590,Sales Manager
299,590,Hotelname
590,591,Reservations
590,591,Hotelname
299,592,Banquet Sales
299,592,Hotelname
592,593,ii. Hotel
592,593,Chain
592,594,Banquet Sales
592,594,Hotelname
592,595,ii. Hotel
592,595,Chain
299,597,Sales Manager
299,597,Chain
597,598,ii. Hotel
597,598,Chain
299,599,Reservations
299,599,Hotelname
599,600,ii. Hotel
599,600,Chain
300,601,Banquet Sales
300,601,Hotelname
300,602,ii. Hotel
300,602,Chain
602,603,ii. Hotel
602,603,Chain
605,606,Banquet Sales
605,606,Hotelname
607,608,ii. Hotel
607,608,Chain
607,609,ii. Hotel
