"customer_id","label"
2877,Booker
2881,Supplier
2882,Booker
2884,Supplier
2886,Supplier
2890,Supplier
2892,Supplier
2893,Supplier
2895,Supplier
2896,Supplier
2898,Supplier
2899,Supplier
2904,Supplier
2905,Supplier
2908,Supplier
2914,Supplier
2900,Booker
2917,Supplier
2918,Supplier
2920,Supplier
2931,Supplier
2932,Supplier
2934,Supplier
2938,Supplier
2940,Supplier
2941,Supplier
2942,Booker
2946,LEAD
2948,Supplier
2950,Booker
2951,Booker
2953,Supplier
2957,Supplier
2961,Supplier
2963,Supplier
2964,Booker
2966,Supplier
2968,Supplier
2971,Supplier
2972,Booker
2974,Supplier
2976,Supplier
2979,Supplier
2982,Supplier
2985,Supplier
2986,Supplier
2990,Supplier
2997,Supplier
2999,Supplier
3001,Supplier
3008,Booker
3015,Supplier
3018,"2. Hotels"
3019,Booker
3022,Booker
3029,Supplier
3033,Supplier
3035,Supplier
3042,Medewerker
3043,Medewerker
3044,Supplier
3046,Booker
3049,Supplier
3062,Supplier
3063,Supplier
3064,Supplier
3066,Supplier
3069,Supplier
3070,Booker
3072,Supplier
3074,Supplier
3075,Booker
3082,Supplier
3083,Supplier
3084,Supplier
3087,Supplier
3088,Supplier
3091,Supplier
3094,Supplier
3096,Supplier
3097,Supplier
3098,Supplier
3099,Supplier
3100,Booker
3101,Supplier
3104,Supplier
3110,Supplier
3115,Supplier
3118,Supplier
3119,Supplier
3122,Supplier
3125,Supplier
3126,Supplier
3127,Supplier
3128,Supplier
3129,Supplier
3130,Supplier
2324,Booker
3136,Supplier
3138,Supplier
3139,Supplier
3140,Supplier
3142,Supplier
3143,Supplier
3147,Supplier
3150,Supplier
3151,Supplier
3152,Supplier
3157,Supplier
3158,Supplier
3160,Supplier
3162,Supplier
3163,Supplier
3164,Supplier
3166,Supplier
3167,Supplier
3169,Supplier
3170,Booker
3171,Supplier
3172,Supplier
3173,Supplier
3177,Supplier
3178,Supplier
3179,Booker
3182,Supplier
3183,Supplier
3186,Supplier
3188,Booker
3190,Supplier
3194,Supplier
3196,Supplier
3198,Supplier
3203,Supplier
3206,Supplier
3014,Booker
3212,Booker
3214,Supplier
3216,Supplier
3217,Booker
3219,Supplier
3220,Booker
3223,Supplier
3228,Supplier
3229,Supplier
3230,Supplier
3231,Supplier
3237,Supplier
3240,Supplier
3243,Supplier
3246,Supplier
3250,Supplier
3251,Supplier
3254,Supplier
1929,Booker
3269,Supplier
3273,Supplier
3274,Booker
3276,Supplier
3278,Supplier
3281,Supplier
3282,Booker
3283,Supplier
3287,Supplier
3288,Supplier
3292,Supplier
3295,Supplier
3297,Supplier
3300,Supplier
3301,Supplier
3302,Supplier
3305,Supplier
3307,Supplier
3310,Supplier
3312,Supplier
3313,Booker
3327,Supplier
3328,Booker
3329,Supplier
3331,Supplier
3337,Supplier
3339,Supplier
3340,Supplier
3342,Supplier
3343,Supplier
3344,Supplier
3345,Booker
3352,Supplier
3357,Supplier
3358,Booker
3362,Supplier
3365,Supplier
1661,Booker
3366,Supplier
3367,Supplier
3368,Supplier
3113,Booker
3372,Booker
2840,Booker
3376,Supplier
3377,Supplier
3379,Supplier
3382,Supplier
3383,Supplier
3384,Supplier
3385,Supplier
3391,Supplier
3398,Supplier
3399,Supplier
3401,Supplier
3402,Supplier
3403,Supplier
3404,Supplier
3407,Supplier
3409,Supplier
3419,Supplier
3420,Supplier
3421,Supplier
3424,Supplier
3425,"1. Restaurant"
3426,Supplier
3425,Supplier
3427,Booker
3428,Supplier
3429,Supplier
3432,Supplier
3435,Booker
3441,Supplier
3442,Supplier
3445,Supplier
3446,Supplier
3456,Supplier
3457,Supplier
3459,Supplier
3462,Supplier
3472,Supplier
3473,Booker
3474,Supplier
3478,Supplier
3480,Supplier
3481,Supplier
3485,Booker
3488,Booker
3491,Supplier
3495,Booker
3498,Supplier
3506,Supplier
3507,Booker
3509,Supplier
3511,Supplier
3513,Supplier
3514,Supplier
3516,Supplier
3518,Supplier
3519,Klant
3520,Booker
3522,Supplier
3524,Supplier
